VIDEO ID   ,VIDEO TITLE                                      ,            CREATOR,MM,SS,pre-roll ad,mid-roll ad,post-roll ad
5Fg9oZk-5uA,I Bought Everything In 5 Stores                  ,            MrBeast,14,14,true,true,false
oNCs4C2SMjo,Apple Watch Series 9 & Ultra 2: What Are We Wa...,   Marques Brownlee,10,29,true,false,true
XKu_SEDAykw,How to: Work at Google — Example Coding/Engine...,     Life at Google,24,02,false,false,false
ZAfAud_M_mg,Halsey - Without Me                              ,             Halsey,03,57,true,true,true
GnJAqV3VMUE,LA MORNING ROUTINE LOL                           ,   emma chamberlain,25,09,false,false,false
